Acceleration;Altitude
17.53999;0.26310
17.57728;0.70216
17.61125;1.31750
17.64187;2.10941
17.66911;3.07815
17.69294;4.22394
17.71334;5.54697
17.73028;7.04738
17.74376;8.72530
17.75374;10.58080
17.76022;12.61394
17.76320;14.82472
17.76265;17.21313
17.75858;19.77911
17.75100;22.52256
17.73989;25.44335
17.72527;28.54132
17.70716;31.81627
17.68555;35.26797
17.66047;38.89614
17.63193;42.70050
17.59997;46.68069
17.56459;50.83636
17.52584;55.16708
17.48374;59.67244
17.43833;64.35195
17.38964;69.20511
17.33772;74.23139
17.28260;79.43023
17.22433;84.80101
17.16297;90.34312
17.09855;96.05589
17.03114;101.93863
16.96079;107.99063
16.88755;114.21114
16.81149;120.59939
16.73267;127.15456
16.65114;133.87584
16.56699;140.76237
16.48027;147.81327
16.39105;155.02764
16.29941;162.40454
16.20541;169.94302
16.10913;177.64211
16.01064;185.50082
15.91003;193.51813
15.80735;201.69299
15.70270;210.02436
15.59615;218.51116
15.48777;227.15229
15.37766;235.94665
15.26587;244.89311
15.15251;253.99052
15.03764;263.23774
14.92134;272.63359
-14.85262;281.73205
-14.68820;290.68444
-14.52844;299.49235
-14.37320;308.15731
-14.22232;316.68079
-14.07568;325.06425
-13.93312;333.30910
-13.79453;341.41669
-13.65979;349.38835
-13.52877;357.22539
-13.40136;364.92905
-13.27746;372.50055
-13.15696;379.94108
-13.03976;387.25181
-12.92577;394.43384
-12.81490;401.48828
-12.70705;408.41619
-12.60214;415.21861
-12.50010;421.89653
-12.40084;428.45094
-12.30429;434.88279
-12.21038;441.19300
-12.11904;447.38249
-12.03020;453.45211
-11.94380;459.40273
-11.85978;465.23517
-11.77808;470.95024
-11.69864;476.54872
-11.62141;482.03137
-11.54633;487.39893
-11.47336;492.65212
-11.40244;497.79165
-11.33354;502.81818
-11.26660;507.73238
-11.20158;512.53490
-11.13844;517.22634
-11.07715;521.80732
-11.01765;526.27842
-10.95992;530.64021
-10.90392;534.89323
-10.84961;539.03804
-10.79697;543.07514
-10.74596;547.00503
-10.69654;550.82821
-10.64870;554.54513
-10.60240;558.15627
-10.55762;561.66205
-10.51432;565.06291
-10.47250;568.35925
-10.43211;571.55147
-10.39314;574.63995
-10.35556;577.62507
-10.31937;580.50717
-10.28452;583.28661
-10.25101;585.96370
-10.21882;588.53876
-10.18793;591.01210
-10.15832;593.38400
-10.12998;595.65475
-10.10289;597.82460
-10.07704;599.89381
-10.05241;601.86262
-10.02899;603.73126
-10.00676;605.49994
-9.98572;607.16887
-9.96586;608.73823
-9.94716;610.20823
-9.92961;611.57901
-9.91321;612.85074
-9.89795;614.02357
-9.88381;615.09763
-9.87080;616.07305
-9.85890;616.94994
-9.84811;617.72840
-9.83842;618.40853
-9.82983;618.99040
-9.82233;619.47408
-9.81592;619.85964
-9.81059;620.14712
-9.80635;620.33656
-9.80319;620.42798
-9.80111;620.42140
-9.80010;620.31682
-9.79983;620.11425
-9.79868;619.81370
-9.79645;619.41519
-9.79315;618.91877
-9.78877;618.32448
-9.78332;617.63239
-9.77680;616.84256
-9.76921;615.95507
-9.76055;614.97003
-9.75083;613.88752
-9.74005;612.70767
-9.72821;611.43059
-9.71532;610.05643
-9.70138;608.58532
-9.68640;607.01742
-9.67039;605.35290
-9.65334;603.59193
16.96192;602.13366
11.92695;600.76948
8.70073;599.47618
6.51093;598.23704
4.96270;597.03978
3.83470;595.87523
2.99401;594.73642
2.35645;593.61798
1.86634;592.51576
1.48554;591.42648
1.18716;590.34759
0.95180;589.27704
0.76515;588.21321
0.61650;587.15480
0.49770;586.10077
0.40249;585.05029
0.32603;584.00269
0.26450;582.95743
0.21492;581.91406
0.17493;580.87225
0.14264;579.83170
0.11654;578.79219
0.09544;577.75352
0.07837;576.71556
0.06455;575.67817
0.05337;574.64126
0.04431;573.60474
0.03698;572.56856
0.03103;571.53266
0.02622;570.49700
0.02232;569.46154
0.01916;568.42626
0.01659;567.39113
0.01452;566.35613
0.01284;565.32126
0.01147;564.28649
0.01037;563.25182
0.00947;562.21724
0.00874;561.18275
0.00816;560.14833
0.00768;559.11399
0.00729;558.07972
0.00698;557.04552
0.00672;556.01138
0.00652;554.97731
0.00635;553.94330
0.00621;552.90935
0.00610;551.87546
0.00601;550.84163
0.00594;549.80786
0.00588;548.77415
0.00583;547.74050
0.00580;546.70690
0.00576;545.67337
0.00574;544.63989
0.00572;543.60646
0.00570;542.57310
0.00569;541.53979
0.00567;540.50653
0.00566;539.47334
0.00566;538.44020
0.00565;537.40711
0.00565;536.37409
0.00564;535.34112
0.00564;534.30820
0.00563;533.27535
0.00563;532.24254
0.00563;531.20980
0.00563;530.17711
0.00563;529.14448
0.00562;528.11190
0.00562;527.07938
0.00562;526.04692
0.00562;525.01451
0.00562;523.98216
0.00562;522.94986
0.00562;521.91762
0.00562;520.88544
0.00562;519.85331
0.00562;518.82124
0.00561;517.78923
0.00561;516.75727
0.00561;515.72537
0.00561;514.69352
0.00561;513.66173
0.00561;512.63000
0.00561;511.59832
0.00561;510.56670
0.00561;509.53513
0.00561;508.50362
0.00561;507.47217
0.00561;506.44077
0.00561;505.40943
0.00561;504.37814
0.00561;503.34692
0.00561;502.31574
0.00560;501.28462
0.00560;500.25356
0.00560;499.22256
0.00560;498.19161
0.00560;497.16072
0.00560;496.12988
0.00560;495.09910
0.00560;494.06837
0.00560;493.03770
0.00560;492.00709
0.00560;490.97653
0.00560;489.94603
0.00560;488.91559
0.00560;487.88520
0.00560;486.85487
0.00560;485.82459
0.00559;484.79437
0.00559;483.76420
0.00559;482.73409
0.00559;481.70404
0.00559;480.67404
0.00559;479.64410
0.00559;478.61421
0.00559;477.58438
0.00559;476.55461
0.00559;475.52489
0.00559;474.49523
0.00559;473.46562
0.00559;472.43607
0.00559;471.40658
0.00559;470.37714
0.00559;469.34776
0.00559;468.31843
0.00558;467.28916
0.00558;466.25994
0.00558;465.23078
0.00558;464.20168
0.00558;463.17263
0.00558;462.14364
0.00558;461.11470
0.00558;460.08582
0.00558;459.05700
0.00558;458.02823
0.00558;456.99952
0.00558;455.97086
0.00558;454.94226
0.00558;453.91371
0.00558;452.88522
0.00558;451.85679
0.00557;450.82841
0.00557;449.80009
0.00557;448.77182
0.00557;447.74361
0.00557;446.71545
0.00557;445.68735
0.00557;444.65931
0.00557;443.63132
0.00557;442.60339
0.00557;441.57551
0.00557;440.54769
0.00557;439.51992
0.00557;438.49221
0.00557;437.46456
0.00557;436.43696
0.00557;435.40941
0.00557;434.38193
0.00556;433.35450
0.00556;432.32712
0.00556;431.29980
0.00556;430.27253
0.00556;429.24532
0.00556;428.21817
0.00556;427.19107
0.00556;426.16403
0.00556;425.13704
0.00556;424.11011
0.00556;423.08324
0.00556;422.05642
0.00556;421.02965
0.00556;420.00294
0.00556;418.97629
0.00556;417.94969
0.00555;416.92315
0.00555;415.89666
0.00555;414.87023
0.00555;413.84385
0.00555;412.81753
0.00555;411.79127
0.00555;410.76506
0.00555;409.73891
0.00555;408.71281
0.00555;407.68677
0.00555;406.66078
0.00555;405.63485
0.00555;404.60897
0.00555;403.58315
0.00555;402.55738
0.00555;401.53167
0.00555;400.50602
0.00554;399.48042
0.00554;398.45488
0.00554;397.42939
0.00554;396.40396
0.00554;395.37858
0.00554;394.35326
0.00554;393.32799
0.00554;392.30278
0.00554;391.27762
0.00554;390.25252
0.00554;389.22748
0.00554;388.20249
0.00554;387.17755
0.00554;386.15268
0.00554;385.12785
0.00554;384.10308
0.00554;383.07837
0.00553;382.05371
0.00553;381.02911
0.00553;380.00457
0.00553;378.98007
0.00553;377.95564
0.00553;376.93126
0.00553;375.90693
0.00553;374.88266
0.00553;373.85845
0.00553;372.83429
0.00553;371.81018
0.00553;370.78613
0.00553;369.76214
0.00553;368.73820
0.00553;367.71432
0.00553;366.69049
0.00552;365.66672
0.00552;364.64300
0.00552;363.61934
0.00552;362.59573
0.00552;361.57218
0.00552;360.54868
0.00552;359.52524
0.00552;358.50185
0.00552;357.47852
0.00552;356.45525
0.00552;355.43203
0.00552;354.40886
0.00552;353.38575
0.00552;352.36270
0.00552;351.33970
0.00552;350.31675
0.00552;349.29386
0.00551;348.27103
0.00551;347.24825
0.00551;346.22552
0.00551;345.20285
0.00551;344.18024
0.00551;343.15768
0.00551;342.13518
0.00551;341.11273
0.00551;340.09034
0.00551;339.06800
0.00551;338.04571
0.00551;337.02348
0.00551;336.00131
0.00551;334.97919
0.00551;333.95713
0.00551;332.93512
0.00551;331.91317
0.00550;330.89127
0.00550;329.86943
0.00550;328.84764
0.00550;327.82591
0.00550;326.80423
0.00550;325.78261
0.00550;324.76104
0.00550;323.73953
0.00550;322.71807
0.00550;321.69667
0.00550;320.67532
0.00550;319.65403
0.00550;318.63279
0.00550;317.61160
0.00550;316.59048
0.00550;315.56940
0.00550;314.54839
0.00549;313.52742
0.00549;312.50651
0.00549;311.48566
0.00549;310.46486
0.00549;309.44412
0.00549;308.42343
0.00549;307.40280
0.00549;306.38222
0.00549;305.36169
0.00549;304.34123
0.00549;303.32081
0.00549;302.30045
0.00549;301.28015
0.00549;300.25990
0.00549;299.23970
0.00549;298.21956
0.00549;297.19948
0.00548;296.17945
0.00548;295.15947
0.00548;294.13955
0.00548;293.11969
0.00548;292.09988
0.00548;291.08012
0.00548;290.06042
0.00548;289.04077
0.00548;288.02118
0.00548;287.00165
0.00548;285.98216
0.00548;284.96274
0.00548;283.94337
0.00548;282.92405
0.00548;281.90479
0.00548;280.88558
0.00548;279.86642
0.00547;278.84733
0.00547;277.82828
0.00547;276.80929
0.00547;275.79036
0.00547;274.77148
0.00547;273.75265
0.00547;272.73388
0.00547;271.71517
0.00547;270.69651
0.00547;269.67790
0.00547;268.65935
0.00547;267.64085
0.00547;266.62241
0.00547;265.60402
0.00547;264.58569
0.00547;263.56741
0.00547;262.54919
0.00546;261.53102
0.00546;260.51291
0.00546;259.49485
0.00546;258.47684
0.00546;257.45889
0.00546;256.44099
0.00546;255.42315
0.00546;254.40537
0.00546;253.38763
0.00546;252.36996
0.00546;251.35233
0.00546;250.33477
0.00546;249.31725
0.00546;248.29979
0.00546;247.28239
0.00546;246.26504
0.00546;245.24774
0.00545;244.23050
0.00545;243.21332
0.00545;242.19619
0.00545;241.17911
0.00545;240.16209
0.00545;239.14512
0.00545;238.12820
0.00545;237.11134
0.00545;236.09454
0.00545;235.07779
0.00545;234.06109
0.00545;233.04445
0.00545;232.02787
0.00545;231.01133
0.00545;229.99486
0.00545;228.97843
0.00545;227.96206
0.00544;226.94575
0.00544;225.92949
0.00544;224.91328
0.00544;223.89713
0.00544;222.88104
0.00544;221.86499
0.00544;220.84900
0.00544;219.83307
0.00544;218.81719
0.00544;217.80137
0.00544;216.78560
0.00544;215.76988
0.00544;214.75422
0.00544;213.73861
0.00544;212.72306
0.00544;211.70756
0.00544;210.69212
0.00543;209.67673
0.00543;208.66139
0.00543;207.64611
0.00543;206.63088
0.00543;205.61571
0.00543;204.60059
0.00543;203.58553
0.00543;202.57052
0.00543;201.55556
0.00543;200.54066
0.00543;199.52582
0.00543;198.51102
0.00543;197.49629
0.00543;196.48160
0.00543;195.46697
0.00543;194.45240
0.00543;193.43787
0.00542;192.42341
0.00542;191.40900
0.00542;190.39464
0.00542;189.38033
0.00542;188.36608
0.00542;187.35189
0.00542;186.33775
0.00542;185.32366
0.00542;184.30963
0.00542;183.29565
0.00542;182.28172
0.00542;181.26785
0.00542;180.25403
0.00542;179.24027
0.00542;178.22656
0.00542;177.21291
0.00542;176.19931
0.00541;175.18576
0.00541;174.17227
0.00541;173.15884
0.00541;172.14545
0.00541;171.13212
0.00541;170.11885
0.00541;169.10563
0.00541;168.09246
0.00541;167.07935
0.00541;166.06629
0.00541;165.05329
0.00541;164.04034
0.00541;163.02744
0.00541;162.01460
0.00541;161.00181
0.00541;159.98907
0.00541;158.97639
0.00541;157.96377
0.00540;156.95120
0.00540;155.93868
0.00540;154.92621
0.00540;153.91381
0.00540;152.90145
0.00540;151.88915
0.00540;150.87690
0.00540;149.86471
0.00540;148.85257
0.00540;147.84048
0.00540;146.82845
0.00540;145.81647
0.00540;144.80455
0.00540;143.79268
0.00540;142.78086
0.00540;141.76910
0.00540;140.75739
0.00539;139.74574
0.00539;138.73414
0.00539;137.72259
0.00539;136.71110
0.00539;135.69966
0.00539;134.68828
0.00539;133.67694
0.00539;132.66567
0.00539;131.65445
0.00539;130.64328
0.00539;129.63216
0.00539;128.62110
0.00539;127.61009
0.00539;126.59914
0.00539;125.58824
0.00539;124.57739
0.00539;123.56660
0.00539;122.55587
0.00538;121.54518
0.00538;120.53455
0.00538;119.52397
0.00538;118.51345
0.00538;117.50298
0.00538;116.49257
0.00538;115.48221
0.00538;114.47190
0.00538;113.46165
0.00538;112.45145
0.00538;111.44130
0.00538;110.43121
0.00538;109.42117
0.00538;108.41119
0.00538;107.40125
0.00538;106.39138
0.00538;105.38155
0.00537;104.37178
0.00537;103.36207
0.00537;102.35241
0.00537;101.34280
0.00537;100.33324
0.00537;99.32374
0.00537;98.31429
0.00537;97.30490
0.00537;96.29556
0.00537;95.28628
0.00537;94.27704
0.00537;93.26786
0.00537;92.25874
0.00537;91.24967
0.00537;90.24065
0.00537;89.23169
0.00537;88.22277
0.00536;87.21392
0.00536;86.20511
0.00536;85.19636
0.00536;84.18767
0.00536;83.17903
0.00536;82.17044
0.00536;81.16190
0.00536;80.15342
0.00536;79.14499
0.00536;78.13662
0.00536;77.12830
0.00536;76.12003
0.00536;75.11182
0.00536;74.10366
0.00536;73.09555
0.00536;72.08750
0.00536;71.07950
0.00536;70.07155
0.00535;69.06366
0.00535;68.05582
0.00535;67.04804
0.00535;66.04031
0.00535;65.03263
0.00535;64.02500
0.00535;63.01743
0.00535;62.00991
0.00535;61.00245
0.00535;59.99504
0.00535;58.98768
0.00535;57.98038
0.00535;56.97313
0.00535;55.96593
0.00535;54.95879
0.00535;53.95170
0.00535;52.94466
0.00535;51.93768
0.00534;50.93075
0.00534;49.92388
0.00534;48.91705
0.00534;47.91028
0.00534;46.90357
0.00534;45.89691
0.00534;44.89030
0.00534;43.88374
0.00534;42.87724
0.00534;41.87079
0.00534;40.86440
0.00534;39.85805
0.00534;38.85177
0.00534;37.84553
0.00534;36.83935
0.00534;35.83322
0.00534;34.82715
0.00533;33.82112
0.00533;32.81515
0.00533;31.80924
0.00533;30.80338
0.00533;29.79757
0.00533;28.79181
0.00533;27.78611
0.00533;26.78046
0.00533;25.77487
0.00533;24.76933
0.00533;23.76384
0.00533;22.75840
0.00533;21.75302
0.00533;20.74769
0.00533;19.74242
0.00533;18.73720
0.00533;17.73203
0.00533;16.72691
0.00532;15.72185
0.00532;14.71684
0.00532;13.71188
0.00532;12.70698
0.00532;11.70213
0.00532;10.69733
0.00532;9.69259
0.00532;8.68790
0.00532;7.68326
0.00532;6.67868
0.00532;5.67415
0.00532;4.66967
0.00532;3.66525
0.00532;2.66088
0.00532;1.65656
0.00532;0.00000
0.00599;0.00000
0.00482;0.00000
0.00388;0.00000
0.00312;0.00000
0.00251;0.00000
